ID: 1, Nome: João Silva, Disciplina: Matemática, Nota: 8.5
ID: 28, Nome: Ana Costa, Disciplina: Química, Nota: 7.5
ID: 29, Nome: Tiago Pereira, Disciplina: Química, Nota: 9.0
ID: 30, Nome: Carla Mendes, Disciplina: Química, Nota: 8.0
ID: 31, Nome: Sofia Ferreira, Disciplina: Química, Nota: 7.0
ID: 32, Nome: Miguel Ramos, Disciplina: Química, Nota: 8.5
ID: 33, Nome: Catarina Martins, Disciplina: Química, Nota: 7.5
ID: 34, Nome: Bruno Alves, Disciplina: Química, Nota: 9.0
ID: 35, Nome: Luís Santos, Disciplina: Química, Nota: 8.5
ID: 36, Nome: Mariana Lima, Disciplina: Química, Nota: 7.0
ID: 37, Nome: João Silva, Disciplina: Biologia, Nota: 6.5
ID: 38, Nome: Maria Oliveira, Disciplina: Biologia, Nota: 8.0
ID: 39, Nome: Paulo Sousa, Disciplina: Biologia, Nota: 7.0
ID: 40, Nome: Ana Costa, Disciplina: Biologia, Nota: 6.5
ID: 41, Nome: Tiago Pereira, Disciplina: Biologia, Nota: 7.5
ID: 42, Nome: Carla Mendes, Disciplina: Biologia, Nota: 8.5
ID: 43, Nome: Sofia Ferreira, Disciplina: Biologia, Nota: 9.0
ID: 44, Nome: Miguel Ramos, Disciplina: Biologia, Nota: 7.5
ID: 45, Nome: Catarina Martins, Disciplina: Biologia, Nota: 8.0
ID: 46, Nome: Bruno Alves, Disciplina: Biologia, Nota: 8.5
ID: 47, Nome: Luís Santos, Disciplina: Biologia, Nota: 9.0
ID: 48, Nome: Mariana Lima, Disciplina: Biologia, Nota: 7.0
ID: 49, Nome: João Silva, Disciplina: História, Nota: 7.5
ID: 50, Nome: Maria Oliveira, Disciplina: História, Nota: 8.5
ID: 51, Nome: Paulo Sousa, Disciplina: História, Nota: 7.0
ID: 52, Nome: Ana Costa, Disciplina: História, Nota: 6.5
ID: 53, Nome: Tiago Pereira, Disciplina: História, Nota: 8.0
ID: 54, Nome: Carla Mendes, Disciplina: História, Nota: 7.5
ID: 55, Nome: Sofia Ferreira, Disciplina: História, Nota: 9.0
ID: 56, Nome: Miguel Ramos, Disciplina: História, Nota: 8.0
ID: 57, Nome: Catarina Martins, Disciplina: História, Nota: 6.5
ID: 58, Nome: Bruno Alves, Disciplina: História, Nota: 7.0
ID: 59, Nome: Luís Santos, Disciplina: História, Nota: 8.5
ID: 60, Nome: Mariana Lima, Disciplina: História, Nota: 7.0
ID: 61, Nome: João Silva, Disciplina: Filosofia, Nota: 8.0
ID: 62, Nome: Maria Oliveira, Disciplina: Filosofia, Nota: 7.5
ID: 63, Nome: Paulo Sousa, Disciplina: Filosofia, Nota: 8.5
ID: 64, Nome: Ana Costa, Disciplina: Filosofia, Nota: 6.0
ID: 65, Nome: Tiago Pereira, Disciplina: Filosofia, Nota: 7.0
ID: 66, Nome: Carla Mendes, Disciplina: Filosofia, Nota: 8.0
ID: 67, Nome: Sofia Ferreira, Disciplina: Filosofia, Nota: 7.5
ID: 68, Nome: Miguel Ramos, Disciplina: Filosofia, Nota: 8.5
ID: 69, Nome: Catarina Martins, Disciplina: Filosofia, Nota: 7.0
ID: 70, Nome: Bruno Alves, Disciplina: Filosofia, Nota: 6.5
ID: 71, Nome: Luís Santos, Disciplina: Filosofia, Nota: 8.0
ID: 72, Nome: Mariana Lima, Disciplina: Filosofia, Nota: 7.5
ID: 73, Nome: João Silva, Disciplina: Sociologia, Nota: 7.5
ID: 74, Nome: Maria Oliveira, Disciplina: Sociologia, Nota: 8.0
ID: 75, Nome: Paulo Sousa, Disciplina: Sociologia, Nota: 8.5
ID: 76, Nome: Ana Costa, Disciplina: Sociologia, Nota: 7.0
ID: 77, Nome: Tiago Pereira, Disciplina: Sociologia, Nota: 6.5
ID: 78, Nome: Carla Mendes, Disciplina: Sociologia, Nota: 7.0
ID: 79, Nome: Sofia Ferreira, Disciplina: Sociologia, Nota: 9.0
ID: 80, Nome: Miguel Ramos, Disciplina: Sociologia, Nota: 8.5
ID: 81, Nome: Catarina Martins, Disciplina: Sociologia, Nota: 7.5
ID: 82, Nome: Bruno Alves, Disciplina: Sociologia, Nota: 8.0
ID: 83, Nome: Luís Santos, Disciplina: Sociologia, Nota: 9.0
ID: 84, Nome: Mariana Lima, Disciplina: Sociologia, Nota: 7.0
ID: 85, Nome: João Silva, Disciplina: Geografia, Nota: 7.0
ID: 86, Nome: Maria Oliveira, Disciplina: Geografia, Nota: 8.0
ID: 87, Nome: Paulo Sousa, Disciplina: Geografia, Nota: 7.5
ID: 88, Nome: Ana Costa, Disciplina: Geografia, Nota: 6.5
ID: 89, Nome: Tiago Pereira, Disciplina: Geografia, Nota: 8.5
ID: 90, Nome: Carla Mendes, Disciplina: Geografia, Nota: 7.0
